Jurisdiction,Office,Race Name,Number of Seats,Candidate Name,Votes Received,Percent Received,Total Votes,Elected,Election Date
Fall River School District,School Board Member,School Board Member Fall River School District,2,Wendy Corlett,401,31.18,1286,0,04/05/16
Lodi School District,School Board Member,School Board Member School District of Lodi,2,William M. Wipperfurth,1415,28.77,4890,1,04/05/16
Lodi School District,School Board Member,School Board Member School District of Lodi,2,Karl L. Westphal,1307,26.57,4890,1,04/05/16
Lodi School District,School Board Member,School Board Member School District of Lodi,2,H. Adam Steinberg,1135,23.07,4890,0,04/05/16
Lodi School District,School Board Member,School Board Member School District of Lodi,2,Mick Krueger,1033,21.0,4890,0,04/05/16
Pardeeville Area School District,School Board Member,School Board Member Pardeeville Area School District,2,Margo Pufahl,1432,50.83,2790,1,04/05/16
Pardeeville Area School District,School Board Member,School Board Member Pardeeville Area School District,2,Harold Balsiger,1358,48.21,2790,1,04/05/16
Poynette School District,School Board Member,School Board Member School District of Poynette,2,Jerry Burke,1733,78.42,2210,1,04/05/16
Rio Community School District,School Board Member,School Board Member Rio Community School District,2,Douglas Shippert,868,52.67,1648,1,04/05/16
Rio Community School District,School Board Member,School Board Member Rio Community School District,2,Suzie Kennedy Ferriter,762,46.24,1648,1,04/05/16
Cambria-Friesland School District,School Board Member,School Board Member Cambria-friesland School District,1,Tammy Schepp,637,99.84,637,1,04/05/16
Cambria-Friesland School District,School Board Member,School Board Member Cambria-friesland School District,1,Marc Chip Berger,635,99.53,635,1,04/05/16
Cambria-Friesland School District,School Board Member,School Board Member Cambria-friesland School District,1,Rita L. Woelffer Burmania,639,99.07,639,1,04/05/16
DeForest Area School District,School Board Member,School Board Member Deforest Area School District,2,Jan Berg,138,55.87,245,1,04/05/16
DeForest Area School District,School Board Member,School Board Member Deforest Area School District,2,Brian Coker,107,43.32,245,1,04/05/16
DeForest Area School District,School Board Member,School Board Member Deforest Area School District,1,Steve Tenpas,157,98.74,159,1,04/05/16
Markesan District Schools,School Board Member,School Board Member Markesan District Schools,1,Sara Lemke,13,100.0,13,1,04/05/16
Markesan District Schools,School Board Member,School Board Member Markesan District Schools,1,Dennis Grahn,13,100.0,13,1,04/05/16
Markesan District Schools,School Board Member,School Board Member Markesan District Schools,1,Joan M. Frederick,12,100.0,12,1,04/05/16
Portage Community School District,School Board Member,School Board Member Portage Community School District,2,Matt Foster,3042,52.65,5728,1,04/05/16
Portage Community School District,School Board Member,School Board Member Portage Community School District,2,Daniel Charles Brown,2686,46.49,5728,1,04/05/16
Portage Community School District,School Board Member,School Board Member Portage Community School District,1,Chad Edwards,3472,99.26,3472,1,04/05/16
Sauk Prairie School District,School Board Member,School Board Member Sauk Prairie School District,1,Richard R. Talmage,403,99.26,403,1,04/05/16
Sauk Prairie School District,School Board Member,School Board Member Sauk Prairie School District,1,Ryan P. Jesberger,407,99.51,407,1,04/05/16
Wisconsin Dells School District,School Board Member,School Board Member School District of Wisconsin Dells,1,James McClyman,469,50.98,918,1,04/05/16
Wisconsin Dells School District,School Board Member,School Board Member School District of Wisconsin Dells,1,Lisa Delmore,449,48.8,918,0,04/05/16
Wisconsin Dells School District,School Board Member,School Board Member School District of Wisconsin Dells,1,Jesse C. Weaver,697,94.96,734,1,04/05/16
Columbia County Circuit Court,Circuit Court Judge,Circuit Court Judge,1,W. Andrew Voigt,5024,99.31,5024,1,04/04/17
Town of Arlington,Town Board Chairperson,Town Board Chairperson Town of Arlington,1,George Plenty,76,98.7,77,1,04/04/17
Town of Caledonia,Town Board Chairperson,Town Board Chairperson Town of Caledonia,1,Steven Pate,130,100.0,130,1,04/04/17
Town of Columbus,Town Board Chairperson,Town Board Chairperson Town of Columbus,1,Darren Schroeder,105,99.06,105,1,04/04/17
Town of Courtland,Town Board Chairperson,Town Board Chairperson Town of Courtland,1,Glenn Smits,48,96.0,50,1,04/04/17
Town of Dekorra,Town Board Chairperson,Town Board Chairperson Town of Dekorra,1,Michael K. Dorshorst,323,93.62,345,1,04/04/17
Town of Fort Winnebago,Town Board Chairperson,Town Board Chairperson Town of Fort Winnebago,1,"William Schroeder, Sr.",73,100.0,73,1,04/04/17
